Formation of massive stars by growing accretion
===============================================

Tables of the principal properties of stars on the birthline
and stars leaving the birthline.

Complete tables for the article by
   Behrend R., Maeder A., A&A 2001 ***, ***

Authors: R. Behrend and A. Maeder
         Geneva Observatory
         CH-1290 Sauverny
         Switzerland

Contact: raoul.behrend@obs.unige.ch
         andre.maeder@obs.unige.ch
 or see: http://obswww.unige.ch

Entries of the tables:
  -  time in year
  -  decimal logarithm of the bolometric luminosity of the star in
     units of solar luminosity
  -  mass of the star in units of solar mass
  -  effective temperature in Kelvin
  -  radius of the star in units of solar radius
  -  upper radius of the convective zone, in units of stellar radius
  -  lower radius of the convective zone, in units of stellar radius
  -  disc luminosity, in units of stellar luminosity

The birtline is computed with \tilde{f}=0.5.
t_stop is the age of the star at the end of the accretion

ftp://obsftp.unige.ch/pub/evol/prems/AA2001BM/


Birthline with \tilde{f}=0.5
============================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
Evolution of a star leaving the birthline at t_stop \approx 240e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

240.0e3     3.706   8.982  14.046e3  12.026     0.000     0.000   0.000
246.8e3     3.703   8.982  15.075e3  10.404     0.000     0.000   0.000
252.1e3     3.748   8.982  16.390e3   9.274     0.000     0.000   0.000
257.7e3     3.784   8.982  17.821e3   8.170     0.000     0.000   0.000
263.7e3     3.809   8.982  19.348e3   7.137     0.000     0.000   0.000
270.3e3     3.822   8.982  20.963e3   6.174     0.000     0.000   0.000
277.6e3     3.815   8.982  22.440e3   5.344     0.010     0.000   0.000
288.8e3     3.725   8.982  23.005e3   4.585     0.053     0.000   0.000
301.4e3     3.636   8.982  22.621e3   4.277     0.061     0.000   0.000
319.7e3     3.679   8.982  23.853e3   4.044     0.037     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 243e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

243.0e3     4.333   11.98  21.774e3  10.298     0.000     0.000   0.000
244.7e3     4.233   11.98  22.069e3   8.944     0.000     0.000   0.000
247.8e3     4.228   11.98  23.645e3   7.740     0.000     0.000   0.000
251.7e3     4.216   11.98  25.311e3   6.663     0.003     0.000   0.000
258.5e3     4.145   11.98  26.655e3   5.539     0.049     0.000   0.000
265.5e3     4.049   11.98  26.346e3   5.076     0.072     0.000   0.000
280.9e3     4.076   11.98  28.002e3   4.633     0.046     0.000   0.000
310.0e3     4.025   11.98  28.375e3   4.257     0.076     0.000   0.000
350.0e3     4.025   11.98  28.330e3   4.267     0.078     0.000   0.000
422.6e3     4.026   11.98  28.298e3   4.282     0.077     0.000   0.000
500.2e3     4.026   11.98  28.253e3   4.299     0.077     0.000   0.000
608.9e3     4.028   11.98  28.200e3   4.323     0.077     0.000   0.000
739.4e3     4.029   11.98  28.145e3   4.348     0.078     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 245e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

245.0e3     4.719   15.74  31.596e3   7.630     0.012     0.000   0.000
245.3e3     4.621   15.74  30.708e3   7.219     0.022     0.000   0.000
247.4e3     4.518   15.74  30.533e3   6.483     0.061     0.000   0.000
251.0e3     4.418   15.74  30.142e3   5.928     0.085     0.000   0.000
263.1e3     4.420   15.74  32.137e3   5.226     0.067     0.000   0.000
